LocationId,Name,Description,Location,Date,LineColor
1484496,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9770500,40.4571000,0 -79.9789300,40.4557900,0</coordinates></LineString>",1/18/2015 10:34:52 PM,#838A00
1484497,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9789300,40.4557900,0 -79.9792300,40.4555900,0 -79.9796200,40.4559200,0 -79.9799900,40.4562300,0 -79.9800300,40.4562800,0 -79.9811300,40.4555000,0</coordinates></LineString>",1/18/2015 10:35:57 PM,#838A00
1484500,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9811300,40.4555000,0 -79.9786600,40.4572600,0 -79.9782100,40.4568800,0 -79.9778600,40.4565900,0</coordinates></LineString>",1/18/2015 10:36:58 PM,#838A00
1484503,PW-603,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9774700,40.4574100,0 -79.9768000,40.4578700,0 -79.9764300,40.4575300,0 -79.9758400,40.4570600,0</coordinates></LineString>",1/18/2015 10:37:31 PM,#838A00
1484505,PW-217,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9057400,40.4564900,0 -79.9047400,40.4562600,0 -79.9048300,40.4561400,0 -79.9050400,40.4558500,0 -79.9051700,40.4558800,0</coordinates></LineString>",1/18/2015 10:37:47 PM,#838A00
1484506,PW-604,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9778600,40.4565900,0 -79.9778200,40.4565600,0 -79.9771000,40.4570600,0</coordinates></LineString>",1/18/2015 10:37:59 PM,#838A00
1484508,PW-206,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9058700,40.4565200,0 -79.9012600,40.4554800,0</coordinates></LineString>",1/18/2015 10:38:13 PM,#838A00
1484509,PW-603,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9758400,40.4570600,0 -79.9757700,40.4570000,0</coordinates></LineString>",1/18/2015 10:38:32 PM,#838A00
1484510,PW-217,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9051700,40.4558800,0 -79.9050400,40.4558500,0 -79.9048300,40.4561400,0 -79.9047400,40.4562600,0 -79.9066700,40.4567000,0 -79.9071700,40.4568100,0 -79.9086900,40.4571700,0</coordinates></LineString>",1/18/2015 10:38:45 PM,#838A00
1484512,PW-206,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9012600,40.4554800,0 -79.8996000,40.4550900,0 -79.8980000,40.4547400,0 -79.8975900,40.4546500,0</coordinates></LineString>",1/18/2015 10:39:14 PM,#838A00
