LocationId,Name,Description,Location,Date,LineColor
1498747,PW-211,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.8885600,40.4594000,0 -79.8886000,40.4586900,0 -79.8885700,40.4583200,0 -79.8884000,40.4579100,0 -79.8881900,40.4575200,0 -79.8879600,40.4570300,0 -79.8877200,40.4565000,0 -79.8879100,40.4560300,0 -79.8884500,40.4546000,0 -79.8885300,40.4544000,0</coordinates></LineString>",1/20/2015 10:14:12 AM,#838A00
1498743,PW-411,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9974600,40.4200100,0 -79.9973400,40.4200100,0 -79.9973600,40.4203300,0 -79.9973800,40.4212200,0 -79.9952800,40.4212800,0 -79.9952700,40.4211900,0</coordinates></LineString>",1/20/2015 10:14:14 AM,#838A00
1498751,PW-96,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9343300,40.4391300,0 -79.9359500,40.4408600,0 -79.9379200,40.4430200,0</coordinates></LineString>",1/20/2015 10:14:17 AM,#838A00
1498738,PW-108,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0337000,40.4815600,0 -80.0350100,40.4823100,0 -80.0351200,40.4823500,0 -80.0352400,40.4825100,0 -80.0356100,40.4836400,0 -80.0357700,40.4841400,0</coordinates></LineString>",1/20/2015 10:14:21 AM,#838A00
1498753,PW-405,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9768800,40.4050500,0 -79.9758700,40.4043800,0 -79.9769100,40.4036600,0 -79.9781700,40.4027600,0 -79.9790100,40.4021900,0 -79.9792600,40.4019700,0 -79.9795300,40.4017200,0 -79.9797200,40.4014700,0 -79.9798900,40.4011200,0 -79.9799700,40.4008700,0 -79.9800200,40.4005800,0 -79.9800200,40.4003100,0 -79.9799900,40.4000800,0 -79.9799200,40.3998600,0 -79.9798100,40.3996000,0</coordinates></LineString>",1/20/2015 10:14:21 AM,#838A00
1498739,PW-316,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9586500,40.4400600,0 -79.9588300,40.4402100,0 -79.9583500,40.4405700,0 -79.9591700,40.4412600,0 -79.9601900,40.4405000,0 -79.9602700,40.4404400,0 -79.9598700,40.4400900,0 -79.9597600,40.4400100,0</coordinates></LineString>",1/20/2015 10:14:23 AM,#838A00
1498741,PW-214,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.8886400,40.4747200,0 -79.8885900,40.4748300,0 -79.8886000,40.4749100,0 -79.8887400,40.4750200,0 -79.8890500,40.4751100,0 -79.8892600,40.4750200,0 -79.8892700,40.4750200,0</coordinates></LineString>",1/20/2015 10:14:23 AM,#838A00
1498745,PWC-21,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9945800,40.4549700,0 -79.9945000,40.4547900,0 -79.9943900,40.4546700,0 -79.9942600,40.4545000,0 -79.9941800,40.4544000,0 -79.9940500,40.4542700,0 -79.9938000,40.4540700,0 -79.9936800,40.4540300,0 -79.9935900,40.4539500,0 -79.9930100,40.4534500,0 -79.9923600,40.4529100,0 -79.9915700,40.4522700,0</coordinates></LineString>",1/20/2015 10:14:23 AM,#838A00
1498757,PW-10,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-80.0225900,40.4873000,0 -80.0223800,40.4879200,0 -80.0218600,40.4888400,0 -80.0214400,40.4895400,0 -80.0214300,40.4897000,0 -80.0214200,40.4902700,0 -80.0213800,40.4903000,0 -80.0210200,40.4903000,0 -80.0197100,40.4902300,0 -80.0195700,40.4901800,0 -80.0186500,40.4897000,0</coordinates></LineString>",1/20/2015 10:14:23 AM,#838A00
1498749,PW-226,Plow & Spreader,"<LineString><tessellate>1</tessellate><coordinates>-79.9174800,40.4634000,0 -79.9168300,40.4627500,0 -79.9165100,40.4623500,0 -79.9163500,40.4620900,0 -79.9162400,40.4618900,0 -79.9161000,40.4615200,0 -79.9159700,40.4611000,0</coordinates></LineString>",1/20/2015 10:14:26 AM,#838A00
